"","Gene_Symbol","Ensembl_ID","PGG_Family","F_Statistic","P_Value","FDR"
"8077","RARRES2",NA,"NA","171.333699532342","1.03677004984643e-36","5.95264451875284e-35"
"10315","RPL15P21","ENST00000320415","pgAmat20457.csv","171.269425468778","1.06654445722312e-36","6.10331831448012e-35"
"6669","RP11-290L7.3","ENST00000420550","pgAmat14889.csv","171.230222430213","1.08512393269109e-36","6.18914581015426e-35"
"7093","CPSF6","ENST00000430496","pgAmat21212.csv","170.847352001177","1.28452435577324e-36","7.30235194620825e-35"
"14853","PER3","ENST00000394192","pgAmat504.csv","170.744570906798","1.34404349355913e-36","7.61565890350456e-35"
"12105","SRSF9","ENST00000504693","NA","170.413749506984","1.55502968575827e-36","8.78236046708316e-35"
"13873","CYP46A1",NA,"NA","169.821869926412","2.01871520533754e-36","1.13639857259425e-34"
"16873","SLC20A1","ENST00000604857","pgAmat9672.csv","169.740584094021","2.09239699116301e-36","1.17405210393764e-34"
"14388","RBM7",NA,"NA","169.683021037923","2.14619892224242e-36","1.20032816713973e-34"
"14844","AP000654.5","ENST00000420713","NA","169.675724123506","2.15311730015806e-36","1.20032816713973e-34"
"15116","POLR3K","ENST00000427719","pgAmat4296.csv","169.252558412043","2.59500367165304e-36","1.44202101136681e-34"
"356","C17orf51",NA,"NA","169.138586577491","2.72883454617146e-36","1.511529443171e-34"
"14845","KPNA5","ENST00000369111","NA","168.969649087826","2.94003432165185e-36","1.62331224111141e-34"
"8027","RPL5P29","ENST00000521750","pgAmat3809.csv","168.358425425873","3.85054371586223e-36","2.11927058909334e-34"
"14758","PSMA5",NA,"NA","167.672164655703","5.21363893435733e-36","2.86038438297027e-34"
"679","NEK2","ENST00000630886","NA","167.544587545226","5.51590413581265e-36","3.01664098971881e-34"
"14609","ASNA1",NA,"NA","167.470353457364","5.69980062506245e-36","3.10738026505771e-34"
"6493","SNX18","ENST00000441860","pgAmat5878.csv","166.820519133513","7.59582146897969e-36","4.12801844738701e-34"
"7152","PSMD14","ENST00000589942","pgAmat2560.csv","166.651754884323","8.18415380235758e-36","4.43381021982269e-34"
"3322","LIPT1","ENST00000632326","NA","166.484346819996","8.81285391790059e-36","4.75949191903619e-34"
"11658","GIMAP5","ENST00000357179","NA","166.115685720416","1.03732518624073e-35","5.58475198399136e-34"
"11102","HDGF",NA,"NA","163.951710905348","2.70327388055567e-35","1.45086891937152e-33"
"12998","UBE2K",NA,"NA","163.024400333026","4.07713374055093e-35","2.18145589177093e-33"
"2459","XG",NA,"NA","161.578723475728","7.74166428154382e-35","4.12936549733458e-33"
"17203","MARK2P9",NA,"NA","161.254932226984","8.93816176141852e-35","4.75290189417953e-33"
"8671","LYSMD4",NA,"NA","160.64159052856","1.17359485223918e-34","6.2214927105514e-33"
"11717","RPS17P1",NA,"NA","159.904264715821","1.62843181623456e-34","8.60628704836871e-33"
"3028","AQP7P4","ENST00000509510","pgAmat9828.csv","158.903653724441","2.54065166183253e-34","1.33864457377408e-32"
"5203","RPL23AP32","ENST00000317102","pgAmat791.csv","158.679162771633","2.80740594660768e-34","1.47469877110255e-32"
"1742","HNRNPL","ENST00000216252","NA","158.610140801172","2.8949309554429e-34","1.5160665688474e-32"
"10325","AC008132.14","ENST00000504618","NA","158.142827547979","3.56391942384422e-34","1.86077509011709e-32"
